Continent_Of_Death	Country_Of_Death	Location_Of_Death	Dead_Host_Order	BirdTree_Dead_Host_Species	Dead_Host_Native_To	Host_Native_Or_Not	Host_Captive_Or_Wild	Host_Age	Naive_To_Parasite	Parasite_Genus	Parasite_Cytb_Lineage	SESMPD	Parasite_Distribution	Authors_State_Caused_Or_Associated_W_Death	Pathology_Or_Stated_Cause_Of_Death	Paper_Title	Year	Citation	Notes
Oceania	New Zealand	Wellington	Spheniciformes	Eudyptula_minor	"New Zealand, Australia"	Native	Captive	Adult	Naive	Plasmodium	GRW06	1.26	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 1: ""Our results suggest that avian malaria is associated with sporadic mortality in New Zealandﾕs little penguins both in the wild and in captivity"" Pg. 3: ""Histopathological examination revealed that the most severe lesions were present in the lungs, in which there was a marked, diffuse, sub-acute, interstitial histiocytic pneumonia as well as marked congestion and pulmonary oedema. The interstitium was expanded by large numbers of macrophages and fewer hetero- phils as well as multiple small deposits of fibrin. Small numbers of protozoal organisms were visible within the cytoplasm of macrophages and endothelial cells (Figure 1b). Haemosiderin was present in many of the macrophages. Many parabronchi and air-capillaries contained proteinaceous fluid. Within the liver, numerous Kupffer cells contained haemosiderin with a small number containing protozoal organisms (Figure 1c). The splenic parenchyma was expanded with large numbers of histiocytic-type cells, most of which were situated around sheathed arterioles. Small numbers of these cells contained protozoal organisms (Figure 1d), while a larger proportion contained haemosiderin."""	Cases of mortality in little penguins (Eudyptula minor) in New Zealand associated with avian malaria	2017	Sijbranda et al.	"Subject of ""Case History"""
Oceania	New Zealand	Auckland	Spheniciformes	Eudyptula_minor	"New Zealand, Australia"	Native	Captive	Adult	Naive	Plasmodium	GRW06	1.26	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 1: ""Our results suggest that avian malaria is associated with sporadic mortality in New Zealandﾕs little penguins both in the wild and in captivity"" Pg. 4: ""Post-mortem findings in these birds included poor body condition, lung oedema and congestion, hydropericardium, splenomegaly, subcutaneous oedema, hydrocoelom, arrested moult, fluid filled blisters on the feet and dilatation of the heart. Histological findings included the presence of schizonts typical of Plasmodium spp. in endothelial cells and macrophages of the spleen and lung, and in hepatocytes and macrophages of the liver."""	Cases of mortality in little penguins (Eudyptula minor) in New Zealand associated with avian malaria	2017	Sijbranda et al.	"Under ""Retrospective investigation"""
Oceania	New Zealand	North Island	Spheniciformes	Eudyptula_minor	"New Zealand, Australia"	Native	Wild	Adult	Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 1: ""Our results suggest that avian malaria is associated with sporadic mortality in New Zealandﾕs little penguins both in the wild and in captivity"" Pg. 4: ""Post-mortem findings in these birds included poor body condition, lung oedema and congestion, hydropericardium, splenomegaly, subcutaneous oedema, hydrocoelom, arrested moult, fluid filled blisters on the feet and dilatation of the heart. Histological findings included the presence of schizonts typical of Plasmodium spp. in endothelial cells and macrophages of the spleen and lung, and in hepatocytes and macrophages of the liver."""	Cases of mortality in little penguins (Eudyptula minor) in New Zealand associated with avian malaria	2017	Sijbranda et al.	"Under ""Retrospective investigation"""
Oceania	New Zealand	North Island	Spheniciformes	Eudyptula_minor	"New Zealand, Australia"	Native	Wild	Adult	Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Caused_death	"Pg. 1: ""Our results suggest that avian malaria is associated with sporadic mortality in New Zealandﾕs little penguins both in the wild and in captivity"" Pg. 4: ""Post-mortem findings in these birds included poor body condition, lung oedema and congestion, hydropericardium, splenomegaly, subcutaneous oedema, hydrocoelom, arrested moult, fluid filled blisters on the feet and dilatation of the heart. Histological findings included the presence of schizonts typical of Plasmodium spp. in endothelial cells and macrophages of the spleen and lung, and in hepatocytes and macrophages of the liver."""	Cases of mortality in little penguins (Eudyptula minor) in New Zealand associated with avian malaria	2017	Sijbranda et al.	"Under ""Retrospective investigation"""
Asia	China	Beijing	Gruiformes	Grus_paradisea	Africa	Not	Captive	Juvenile	Unknown	Plasmodium	ANTPAR01	NA	Unknown_Single_Record	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_carunculatus	Africa	Not	Captive	Juvenile	Unknown	Plasmodium	ANTPAR01	NA	Unknown_Single_Record	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_japonensis	"Asia (Russia, China, Japan)"	Native	Captive	Juvenile	Not_Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_japonensis	"Asia (Russia, China, Japan)"	Native	Captive	Juvenile	Not_Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_nigricollis	Asia (Tibetan Plateu)	Native	Captive	Juvenile	Not_Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_nigricollis	Asia (Tibetan Plateu)	Native	Captive	Juvenile	Not_Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_nigricollis	Asia (Tibetan Plateu)	Native	Captive	Juvenile	Not_Naive	Plasmodium	SGS1	0.09	"Africa,Asia,Europe,North America,Oceania,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."""
Asia	China	Beijing	Gruiformes	Grus_nigricollis	Asia (Tibetan Plateu)	Native	Captive	Juvenile	Not_Naive	Plasmodium	DENVID02	-1.69	"Asia,South America"	Caused_death	"Pg. 7: ""Post-mortem examination revealed characteristic features of haemosporidian infection, particularly the purple colour and hyperplasia of liver, which contained numerous randomly distributed red-to-black foci and calcifications, the enlarged black spleen, and the swollen reddened lungs (Additional  le 1). Bacterial, viral and other pathogens were not reported in dead cranes."" Pg. 8: ""It seems that the reported leucocytozoids are virulent and, together with malaria parasites, are highly responsible for chick mortality."""	"Malaria parasites and related haemosporidians cause mortality in cranes: a study on the parasites diversity, prevalence and distribution in Beijing Zoo"	2018	Jia et al.	"Also infected with Leucocytozoon. Pg. 11: "" Bacterial, viral and other pathogens were not reported in dead cranes."" Lineage called GRUNIG01 in paper."
North America	USA	"Sacramento, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Pg. 50: ""Histopathologically, haemosporidian megalomeronts were observed in numerous tissues, including the liver, kidneys, spleen, lungs, proventricular glands, small intestinal mucosa, heart (myocardium and subepicardium), thyroid, pancreas, bursa of Fabricius, and marrow spaces of the scleral ossicles similar to owl A...Multifocal, random foci of coagulative necrosis associated with hemorrhage were scattered throughout liver sections, similar to owl A. One similar focus was present in a section of lung."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl B
North America	USA	"Lassen, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Histopathologic findings were was similar in all birds with intracellular organisms within multiple blood vessels. Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl D. Tested negative for West Nile Virus.
North America	USA	"Sierra, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Histopathologic findings were was similar in all birds with intracellular organisms within multiple blood vessels. Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."" Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl F. Tested negative for West Nile Virus.
North America	USA	"San Luis Obispo, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Histopathologic findings were was similar in all birds with intracellular organisms within multiple blood vessels. Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl G
North America	USA	"San Luis Obispo, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Histopathologic findings were was similar in all birds with intracellular organisms within multiple blood vessels. Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl H
North America	USA	"Livingston, Louisiana"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	STOCC16	-0.32	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Pg. 50: ""Microscopic examination revealed multifocal, variably-shaped and often lobulated, megalomeronts ranging between 30 and 50 _m in diameter and 30 to 100 _m in length in the liver, spleen, kidney, and heart (Fig. 1). The cells surrounding the meronts often lacked cellular detail and contained scant nuclear debris, particularly in the spleen, heart, and liver (Fig. 1AﾐC). The meronts were also associated with occasional hemorrhage, as well as rare clusters of brown, globular intracytoplasmic and extracytoplasmic pigment interpreted as hemosiderin"""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl A
North America	USA	"Lassen, California"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Leucocytozoon	BUVIR06	-0.36	North America	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Histopathologic findings were was similar in all birds with intracellular organisms within multiple blood vessels. Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Pg. 52: ""Megalomeronts were observed frequently in the liver, spleen, kidneys, lung, heart, and in the choroid vessels. Occasionally, megalomeronts were seen in the adrenal glands, gastrointestinal wall, and pancreas. In all birds there was severe hepatic necrosis, mostly bridging centrilobular, associated with hypoxia, and random foci as- sociated with intralesional megalomeronts as well as lymphoid depletion in the spleen."""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl E. Tested negative for West Nile Virus.
North America	USA	"Livingston, Louisiana"	Strigiformes	Bubo_virginianus	North America	Native	Wild	Juvenile	Not_Naive	Haemoproteus	STVAR01	-1.79	"Africa,North America"	Caused_death	"Pg. 52: ""Severe tissue damage, consistent with systemic Leucocytozoon sp. infection, was detected in all owls that suggest that haemosporidian infection likely caused significant debilitation and disease in these free-ranging birds."" Pg. 50: ""Microscopic examination revealed multifocal, variably-shaped and often lobulated, megalomeronts ranging between 30 and 50 _m in diameter and 30 to 100 _m in length in the liver, spleen, kidney, and heart (Fig. 1). The cells surrounding the meronts often lacked cellular detail and contained scant nuclear debris, particularly in the spleen, heart, and liver (Fig. 1AﾐC). The meronts were also associated with occasional hemorrhage, as well as rare clusters of brown, globular intracytoplasmic and extracytoplasmic pigment interpreted as hemosiderin"""	"Case Series: Virulent hemosporidiosis infections in juvenile great horned owls (Bubo virginianus) from Louisiana and California, USA"	2018	Niedringhaus et al.	Owl A
Europe	Belgium	Flanders	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	SYAT05	-1.79	"Africa,Asia,Europe,North America,Oceania,South America"	Associated_with_death	"Pg. 860: ""Cytology of the lungs, liver, spleen, and kidney for three of the six initial Blackbirds revealed intracellular merozoites within erythrocytes, polychromatophils, and macrophages, a mixed inflammatory infection in various organs, and in one case, schizonts within the lung tissue."""	"Usutu Virus Epizootic and Plasmodium Coinfection in Eurasian Blackbirds (Turdus merula) in Flanders, Belgium "	2018	Rouffaer et al.	From sample described as 'six initial Eurasian Blackbirds'. Usutu virus also noted.
Europe	Belgium	Flanders	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	SYAT05	-1.79	"Africa,Asia,Europe,North America,Oceania,South America"	Associated_with_death	"Pg. 860: ""Cytology of the lungs, liver, spleen, and kidney for three of the six initial Blackbirds revealed intracellular merozoites within erythrocytes, polychromatophils, and macrophages, a mixed inflammatory infection in various organs, and in one case, schizonts within the lung tissue."""	"Usutu Virus Epizootic and Plasmodium Coinfection in Eurasian Blackbirds (Turdus merula) in Flanders, Belgium "	2018	Rouffaer et al.	From sample described as 'six initial Eurasian Blackbirds'. Usutu virus also noted.
Europe	Belgium	Flanders	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	SYAT05	-1.79	"Africa,Asia,Europe,North America,Oceania,South America"	Associated_with_death	"Pg. 860: ""Cytology of the lungs, liver, spleen, and kidney for three of the six initial Blackbirds revealed intracellular merozoites within erythrocytes, polychromatophils, and macrophages, a mixed inflammatory infection in various organs, and in one case, schizonts within the lung tissue."""	"Usutu Virus Epizootic and Plasmodium Coinfection in Eurasian Blackbirds (Turdus merula) in Flanders, Belgium "	2018	Rouffaer et al.	From sample described as 'six initial Eurasian Blackbirds'. Usutu virus also noted.
Europe	Belgium	Flanders	Passeriformes	Turdus_merula	Eurasia	Native	Wild	Unknown	Not_Naive	Plasmodium	LINN1	-1.56	"Africa,Asia,Europe,North America,Oceania"	Associated_with_death	"Pg. 860: ""Cytology of the lungs, liver, spleen, and kidney for three of the six initial Blackbirds revealed intracellular merozoites within erythrocytes, polychromatophils, and macrophages, a mixed inflammatory infection in various organs, and in one case, schizonts within the lung tissue."""	"Usutu Virus Epizootic and Plasmodium Coinfection in Eurasian Blackbirds (Turdus merula) in Flanders, Belgium "	2018	Rouffaer et al.	From sample described as 'six initial Eurasian Blackbirds'. Usutu virus also noted.
Oceania	Australia	"Wamuran, Queensland"	Psittaciformes	Calyptorhynchus_funereus	Australia	Native	Captive	Juvenile	Naive	Plasmodium	FANTAIL01	1.65	"Asia,Europe,Oceania"	Caused_death	"Pg. 94: ""Heart, lung, liver, intestine, kidney and brain from the yellow-tailed black cockatoo were examined. There was moderate to severe pulmonary congestion and oedema, with multiple protistan schizonts present in the endothelium of capillaries and small to large arteries (Figures 1, 2). Some capillaries were occluded by schizonts. Scattered individual endothelial cell necrosis was seen throughout the lung. Moderate, multifocal endarteritis and scattered individual hepatocellular necrosis was seen in some sections of liver, accompanied by mild haemosiderosis. Other liver sections exhibited widespread coagulative necrosis with numerous schizonts present (Figure 3). There was mild renal congestion, although kidney tissue was moderately autolysed, and haemorrhage had occurred in the intestines. No abnormalities were observed in heart or brain sections."" Pg. 95: ""By PCR, infection with a Plasmodium sp. (isolate AP63) was determined as the likely cause of the death of the two captive black cockatoos (Calyptorhynchus spp.) from Queensland, Australia, described in this report. """	Spillover of avian haemosporidian parasites (Haemosporidia: Plasmodium) and death of captive psittacine species	2018	Verwey et al.	"Regarding naive, authors state (Pg. 96): ""Although the exact provenance of these captive birds is unknown, it is likely that the housing of captive black cockatoos in ground level, low-altitude aviaries within a wet sclero- phyll environment resulted in exposure to mosquito vectors of hae- mosporidian parasites to which they would have been naive."""
Oceania	Australia	"Wamuran, Queensland"	Psittaciformes	Calyptorhynchus_lathami	Australia	Native	Captive	Adult	Naive	Plasmodium	FANTAIL01	1.65	"Asia,Europe,Oceania"	Caused_death	"Pg. 94: ""The lung was mildly congested and had numerous schizonts associated with capillary endothelium (Figure 4). There was multifocal nodular infiltration of the lung parenchyma with macrophages. Widespread coagulative and liquefactive necrosis had occurred in the spleen and schizonts were present throughout this organ. The liver had multifocal to coalescing areas of coagulative and liquefactive necrosis with infiltrating macrophages and heterophils. Numerous schizonts were associated with these areas of liver. The brain had no abnormalities and other tissues were not identifiable."" Pg. 95: ""By PCR, infection with a Plasmodium sp. (isolate AP63) was determined as the likely cause of the death of the two captive black cockatoos (Calyptorhynchus spp.) from Queensland, Australia, described in this report. """	Spillover of avian haemosporidian parasites (Haemosporidia: Plasmodium) and death of captive psittacine species	2018	Verwey et al.	"Regarding naive, authors state (Pg. 96): ""Although the exact provenance of these captive birds is unknown, it is likely that the housing of captive black cockatoos in ground level, low-altitude aviaries within a wet sclero- phyll environment resulted in exposure to mosquito vectors of hae- mosporidian parasites to which they would have been naive."""
Europe	Italy		Psittaciformes	Poicephalus_robustus	Africa	Not	Captive	Adult	Naive	Leucocytozoon	COCOR09	-1.14	"Asia,Europe"	Caused_death	"Pg. 180: ""Histopathologic changes in the liver, spleen, and lungs were suggestive of Leucocytozoon species infection. The liver was characterized by the presence of a few schizonts in hepatocytes and endothelial cells and a very large number of macrophages filled by characteristically shaped basophilic merozoites contained in parasitophorous vacuoles, a typical invagination of the cytoplasmic membrane of host cells that surround the parasites...Multifocal areas of coagulative necrosis were also associated with the loss of the normal structure of hepatic cords, with severe congestion of central and hepatic veins. Parasitized macrophages were also observed in the spleen and lung parenchyma. In the spleen, lymphoid cells were depleted, and irregular eosin- ophilic structures were found, which resulted from degenerate schizonts associated with parasitized macrophages. In the lungs, merozoite-laden alveolar macrophages were found associated with sero- proteinaceous materialﾐfilled alveoli. In all 3 organ tissues, there were various degenerating schizont stages from intact to highly degenerate. Some of the infected macrophages were damaged or had started to rupture, liberating merozoites. Degener- ate phagocytic cells with merozoites or protozoal schizonts were observed along with various signs of cellular immune infiltration of tissues with lymphocytes, heterophils, foreign-body giant cells, and macrophages."" Pg. 182: ""In this case, the presence of Leucocytozoon species was confirmed by molecular analysis and should be considered as a cause of death in psittacine birds."""	Fatal leucocytozoon infection in a captive grey-heade parrot (Poicephalus robustus suahelicus)	2019	Galosi et al.	Called CORNIX02 in paper
North America	USA	"Yakima County, Washington"	Piciformes	Picoides_albolarvatus	North America	Native	Wild	Juvenile	Not_Naive	Haemoproteus	MELSTR01	-0.85	North America	Caused_death	"Pg. 95: ""There were several macroscopic findings that pointed to an infectious disease cause of death. The breast muscle was paler than normal with multifocal white streaks throughout and the distal half of both lungs were congested. Lymphatic observations showed the spleen was three to four times the normal size. The liver had green discoloration and was severely enlarged, extending beyond the last rib. Histology revealed acute multifocal necrosis, disseminated moderate to severe microgranulomatosis, lymphohistiocytosis in the liver and spleen as well as in kidney and skeletal muscle. Iron sequestration due to the presence of numerous pigment granules (hemozoin) was seen in the liver"" Pg. 93: ""These attributes implicated a haemosporidian infection that likely resulted in mortality"""	"Haemoproteosis lethality in a woodpecker, with molecular and morphological characterization of Haemoproteus velans (Haemosporida, Haemoproteidae) "	2019	Groff et al.	
Europe	UK	"Ardbeg, Scotland"	Psittaciformes	Neopsephotus_bourkii	Australia	Not	Captive	Uknown	Naive	Haemoproteus	TUPHI01	-1.43	"Asia,Europe,North America,South America"	Caused_death	"Pg. 4: ""Large tissue cyst-like structures resembling Haemoproteus megalomeronts were detected in 21 parrots (Psittaciformes; Table 1). Megalomeronts were located in the heart and gizzard muscle and frequently associated with extensive haemorrhages (Fig. 1a-e). Occasionally, megalomeronts were also found in other organs such as the lung (not shown). Macroscopically, parasite-associated haemorrhages appeared randomly scattered throughout the muscle tissue (Fig. 1a, d). Parasite structures were visible only microscopically (Fig. 1b, c, e). No host immune cell reaction was observed against the parasite. Megalomeronts were very often disrupted, and the remnants of the parasites (syncytia containing a portion of the cytoplasm and one or several nuclei) were present mixed with erythrocytes (Fig. 1f)."" Pg. 1: ""Here we show that the causative pathogen Haemoproteus minutus is responsible for further 17 lethal outbreaks in parrot aviaries in Denmark, Germany"""	Haemoproteus minutus is highly virulent for Australasian and South American parrots	2019	Ortiz-Catedral et al.	
Europe	UK	"Ardbeg, Scotland"	Psittaciformes	Melopsittacus_undulatus	Australia	Not	Captive	Uknown	Naive	Haemoproteus	TUPHI01	-1.43	"Asia,Europe,North America,South America"	Caused_death	"Pg. 4: ""Large tissue cyst-like structures resembling Haemoproteus megalomeronts were detected in 21 parrots (Psittaciformes; Table 1). Megalomeronts were located in the heart and gizzard muscle and frequently associated with extensive haemorrhages (Fig. 1a-e). Occasionally, megalomeronts were also found in other organs such as the lung (not shown). Macroscopically, parasite-associated haemorrhages appeared randomly scattered throughout the muscle tissue (Fig. 1a, d). Parasite structures were visible only microscopically (Fig. 1b, c, e). No host immune cell reaction was observed against the parasite. Megalomeronts were very often disrupted, and the remnants of the parasites (syncytia containing a portion of the cytoplasm and one or several nuclei) were present mixed with erythrocytes (Fig. 1f)."" Pg. 1: ""Here we show that the causative pathogen Haemoproteus minutus is responsible for further 17 lethal outbreaks in parrot aviaries in Denmark, Germany"""	Haemoproteus minutus is highly virulent for Australasian and South American parrots	2019	Ortiz-Catedral et al.	
